Este (m);Norte (m);Cota (m);CuT (%);Fe (%);Mo (%);As (%);Zn (%);CuS (%);RecCu (%);CuCo (%);Wi (kwh/ton);Alteración;Mineralización
1681.8;323.0;1431.5;1.72;1.71;0.061;0.053;0.046;0.04;90.9;32.7;11.82;Cuarzo-sericita;Alta pirita
1683.5;310.1;1415.1;2.21;2.88;0.164;0.014;0.008;0.05;97.0;30.4;12.00;Cuarzo-sericita;Alta pirita
1694.4;642.2;1550.1;1.97;0.41;0.006;0.006;0.009;0.06;93.7;40.5;17.09;Potásico;Baja pirita
1695.3;659.3;1521.9;0.72;0.38;0.004;0.006;0.010;0.03;93.2;39.4;16.48;Potásico;Baja pirita
1697.3;528.3;1481.6;1.12;1.05;0.010;0.007;0.029;0.05;92.6;32.4;15.52;Cuarzo-sericita;Alta pirita
1697.7;541.5;1440.2;0.64;0.34;0.010;0.006;0.009;0.02;91.0;36.7;14.74;Potásico;Baja pirita
1698.0;777.1;1619.4;1.41;0.60;0.004;0.006;0.004;0.05;96.3;39.0;16.16;Potásico;Baja pirita
1698.1;248.0;883.5;0.53;0.76;0.099;0.011;0.014;0.02;82.4;31.4;12.78;Cuarzo-sericita;Alta pirita
1698.2;836.9;1743.7;2.35;2.56;0.006;0.006;0.011;0.21;88.0;34.3;16.32;Potásico;Baja pirita
1698.5;716.7;1493.6;0.96;0.76;0.003;0.003;0.004;0.03;88.0;37.0;16.72;Potásico;Baja pirita
1701.2;377.9;1603.2;2.05;1.94;0.052;0.013;0.019;0.09;94.1;32.5;11.22;Cuarzo-sericita;Alta pirita
1701.4;311.7;1503.8;2.13;3.05;0.053;0.116;0.126;0.09;91.8;30.4;11.55;Cuarzo-sericita;Alta pirita
1702.9;614.8;1279.7;0.90;0.44;0.012;0.007;0.009;0.02;90.1;38.4;14.37;Potásico;Baja pirita
1706.6;433.3;1417.9;1.02;1.66;0.182;0.068;0.144;0.02;93.2;29.6;11.53;Potásico;Alta pirita
1706.6;300.4;1574.0;0.60;9.50;0.011;0.070;0.028;0.09;77.5;21.9;14.06;Cuarzo-sericita;Alta pirita
1710.4;536.0;1591.9;1.46;2.76;0.062;0.009;0.035;0.06;80.5;28.6;12.91;Potásico;Baja pirita
1711.4;292.1;1167.0;1.00;1.64;0.042;0.006;0.018;0.04;92.3;29.3;13.21;Cuarzo-sericita;Alta pirita
1712.7;498.9;1202.8;1.08;1.43;0.022;0.005;0.017;0.03;90.9;32.0;14.77;Cuarzo-sericita;Alta pirita
1713.2;188.7;821.6;0.92;1.62;0.081;0.003;0.005;0.02;87.3;28.9;13.30;Potásico;Baja pirita
1717.0;466.2;1478.2;2.13;1.64;0.117;0.237;0.077;0.07;92.6;33.4;12.51;Cuarzo-sericita;Alta pirita
1717.0;461.7;1502.9;1.49;1.08;0.065;0.195;0.040;0.05;91.7;34.3;11.81;Potásico;Alta pirita
1717.3;721.1;1648.0;2.12;0.57;0.004;0.006;0.013;0.06;93.7;41.0;15.62;Potásico;Baja pirita
1722.0;676.2;1411.6;1.35;0.56;0.020;0.006;0.008;0.05;90.8;39.0;16.10;Potásico;Baja pirita
1727.0;644.1;1465.5;1.62;0.49;0.013;0.003;0.013;0.06;91.5;40.0;15.65;Potásico;Baja pirita
1731.6;607.8;1527.5;0.96;0.41;0.016;0.006;0.007;0.03;90.2;38.7;15.51;Potásico;Baja pirita
1741.4;657.0;1385.7;0.82;0.46;0.010;0.006;0.012;0.03;90.3;38.0;14.49;Potásico;Baja pirita
1743.8;594.6;1472.0;0.99;1.00;0.018;0.009;0.021;0.04;88.0;32.9;14.01;Cuarzo-sericita;Alta pirita
1744.2;550.5;1536.3;0.79;0.90;0.020;0.006;0.013;0.03;85.2;32.6;13.08;Potásico;Baja pirita
1747.4;297.3;1486.0;1.00;3.65;0.017;0.013;0.013;0.07;88.3;25.7;13.69;Cuarzo-sericita;Alta pirita
1747.5;290.6;1614.0;0.58;5.34;0.015;0.006;0.045;0.05;86.9;22.7;14.25;Cuarzo-sericita;Alta pirita
1752.0;252.1;1362.1;0.86;2.45;0.045;0.010;0.047;0.06;76.4;26.3;14.73;Cuarzo-sericita;Alta pirita
1752.6;409.8;1552.4;4.27;5.44;0.089;0.125;0.016;0.28;89.2;32.4;11.35;Cuarzo-sericita;Alta pirita
1754.6;388.8;1437.3;1.40;1.50;0.061;0.142;0.054;0.06;91.3;32.4;11.66;Cuarzo-sericita;Alta pirita
1755.0;376.0;1368.0;1.38;1.92;0.080;0.047;0.037;0.04;94.6;29.6;12.88;Cuarzo-sericita;Alta pirita
1765.7;361.6;1530.9;2.18;2.64;0.161;0.059;0.004;0.07;96.1;30.8;11.88;Cuarzo-sericita;Alta pirita
1786.4;294.8;1251.9;1.57;1.61;0.049;0.023;0.102;0.06;91.0;32.6;13.12;Cuarzo-sericita;Alta pirita
1786.5;343.3;1329.5;1.57;1.58;0.056;0.029;0.025;0.04;92.1;32.3;12.76;Cuarzo-sericita;Alta pirita
1788.7;425.9;1465.3;2.17;2.50;0.113;0.062;0.021;0.11;92.3;32.0;11.95;Cuarzo-sericita;Alta pirita
1790.2;243.3;1169.2;1.21;2.04;0.015;0.034;0.179;0.05;89.8;30.0;14.53;Potásico;Alta pirita
1792.1;286.9;1646.2;0.54;4.00;0.004;0.005;0.094;0.09;83.6;23.1;12.86;Cuarzo-sericita;Alta pirita
1793.9;568.7;1088.0;0.75;0.81;0.010;0.003;0.038;0.03;87.2;32.3;14.69;Potásico;Baja pirita
1795.1;721.9;1593.5;0.71;0.62;0.006;0.006;0.017;0.05;90.1;37.5;17.68;Potásico;Baja pirita
1795.8;394.0;1288.8;4.35;0.53;0.100;1.020;0.091;0.03;94.2;30.5;12.61;Cuarzo-sericita;Alta pirita
1796.3;730.6;1646.3;0.93;0.81;0.004;0.006;0.007;0.04;88.5;35.7;14.13;Potásico;Baja pirita
1796.5;537.5;1191.4;0.60;0.46;0.029;0.004;0.020;0.02;88.9;35.6;15.14;Potásico;Baja pirita
1796.7;782.1;1549.6;0.75;1.02;0.004;0.006;0.007;0.03;93.4;34.0;16.05;Potásico;Baja pirita
1797.1;559.8;1421.4;0.89;2.03;0.013;0.006;0.050;0.07;87.4;27.4;13.26;Potásico;Alta pirita
1797.3;586.7;1587.5;0.79;1.28;0.030;0.008;0.028;0.06;80.1;29.2;15.46;Potásico;Alta pirita
1797.4;509.1;1283.1;0.67;0.98;0.014;0.029;0.027;0.03;92.6;30.4;14.08;Cuarzo-sericita;Alta pirita
1797.7;494.2;1331.9;1.15;1.79;0.066;0.031;0.066;0.03;90.2;31.0;13.98;Potásico;Alta pirita
1798.0;800.0;1643.8;0.76;1.32;0.002;0.004;0.005;0.01;94.1;31.1;15.79;Potásico;Baja pirita
1798.0;533.1;1411.5;0.58;0.76;0.004;0.005;0.015;0.02;89.9;31.6;15.11;Cuarzo-sericita;Baja pirita
1798.2;472.5;1411.4;1.23;1.73;0.222;0.100;0.268;0.03;95.4;30.8;12.36;Cuarzo-sericita;Alta pirita
1799.2;620.1;1500.7;1.25;0.68;0.034;0.007;0.024;0.05;89.5;35.7;14.56;Potásico;Baja pirita
1800.3;649.6;1166.9;0.54;0.72;0.008;0.003;0.007;0.02;90.2;35.5;15.48;Potásico;Baja pirita
1801.3;770.3;1669.3;0.80;1.21;0.004;0.008;0.028;0.06;87.0;34.6;15.37;Potásico;Baja pirita
1801.5;329.5;1565.0;1.55;4.80;0.033;0.082;0.017;0.14;87.4;26.0;12.95;Cuarzo-sericita;Alta pirita
1802.1;292.8;1477.9;0.72;4.84;0.004;0.023;0.034;0.05;91.2;23.2;14.70;Cuarzo-sericita;Alta pirita
1806.4;654.3;1591.4;1.34;0.54;0.004;0.006;0.025;0.07;89.4;39.0;14.85;Potásico;Baja pirita
1809.1;574.2;1282.1;0.70;0.33;0.025;0.006;0.004;0.04;92.8;38.4;14.72;Potásico;Baja pirita
1815.7;402.6;1538.9;1.92;2.40;0.080;0.089;0.013;0.05;91.3;31.9;12.01;Cuarzo-sericita;Alta pirita
1817.1;326.9;1642.1;1.45;5.97;0.026;0.011;0.007;0.05;83.3;24.7;11.50;Cuarzo-sericita;Alta pirita
1817.3;327.1;1619.6;1.71;9.77;0.043;0.113;0.005;0.06;85.6;23.7;12.04;Cuarzo-sericita;Alta pirita
1817.3;708.5;1427.8;1.11;0.72;0.010;0.008;0.005;0.02;95.0;38.5;15.32;Potásico;Baja pirita
1817.4;327.3;1598.6;1.74;3.54;0.028;0.019;0.006;0.04;93.1;27.6;12.75;Cuarzo-sericita;Alta pirita
1836.8;366.0;1455.8;2.57;2.40;0.096;0.063;0.073;0.07;92.6;32.4;13.34;Cuarzo-sericita;Alta pirita
1839.6;458.7;1152.7;1.07;1.29;0.014;0.010;0.138;0.04;85.8;31.9;12.27;Cuarzo-sericita;Alta pirita
1841.6;434.5;1341.7;1.08;2.21;0.121;0.119;0.296;0.07;92.4;28.5;12.21;Cuarzo-sericita;Alta pirita
1843.1;558.6;1450.7;0.82;1.72;0.013;0.012;0.027;0.04;87.0;28.9;13.87;Cuarzo-sericita;Alta pirita
1843.3;631.5;1543.1;0.86;0.73;0.031;0.003;0.021;0.01;87.1;35.4;14.65;Potásico;Baja pirita
1845.3;583.4;1610.1;1.17;1.34;0.050;0.006;0.053;0.04;91.5;32.0;13.59;Cuarzo-sericita;Alta pirita
1845.5;910.0;1800.8;0.70;3.12;0.004;0.016;0.022;0.02;82.7;28.1;14.02;Cuarzo-sericita;Baja pirita
1846.4;649.0;1580.6;1.09;0.39;0.010;0.006;0.014;0.05;89.2;39.5;15.71;Potásico;Baja pirita
1847.3;494.1;1560.0;0.97;1.51;0.229;0.047;0.236;0.05;92.2;30.4;11.18;Cuarzo-sericita;Alta pirita
1847.8;346.9;1611.2;1.65;4.24;0.048;0.039;0.042;0.16;82.9;27.2;13.73;Cuarzo-sericita;Alta pirita
1847.9;616.9;1490.4;0.86;0.52;0.016;0.003;0.017;0.06;85.8;36.7;15.80;Potásico;Baja pirita
1848.0;675.3;1499.3;1.22;0.48;0.005;0.006;0.010;0.05;92.9;40.0;15.80;Potásico;Baja pirita
1848.2;870.9;1742.3;0.74;1.83;0.004;0.006;0.007;0.02;91.2;28.4;14.34;Potásico;Baja pirita
1848.3;622.1;1430.6;1.29;0.61;0.024;0.007;0.015;0.05;90.7;37.9;14.06;Potásico;Baja pirita
1848.5;706.4;1402.2;1.75;0.61;0.007;0.006;0.011;0.06;93.5;39.0;14.55;Potásico;Baja pirita
1849.6;775.5;1516.3;1.15;0.67;0.004;0.006;0.008;0.04;93.3;37.8;15.36;Potásico;Baja pirita
1849.7;725.2;1601.6;0.75;0.84;0.004;0.006;0.008;0.02;88.9;33.5;16.91;Potásico;Baja pirita
1850.0;774.8;1602.3;0.69;0.76;0.005;0.006;0.014;0.04;85.6;33.6;14.88;Potásico;Baja pirita
1853.6;415.7;1491.5;0.90;1.50;0.064;0.031;0.029;0.05;88.8;30.0;10.97;Cuarzo-sericita;Alta pirita
1854.1;794.4;1674.8;0.55;1.32;0.002;0.006;0.014;0.01;83.7;31.5;16.45;Potásico;Baja pirita
1867.0;360.4;816.2;0.75;4.03;0.058;0.185;0.069;0.03;89.0;25.3;13.72;Potásico;Alta pirita
1877.5;356.1;893.4;0.66;5.28;0.178;0.174;0.036;0.02;92.7;22.9;13.30;Potásico;Alta pirita
1878.6;710.3;1470.0;0.76;0.57;0.004;0.010;0.007;0.03;94.3;38.9;16.07;Potásico;Baja pirita
1885.2;302.0;1586.1;0.96;6.24;0.014;0.125;0.025;0.07;90.3;23.5;12.85;Cuarzo-sericita;Alta pirita
1886.2;278.5;1251.7;2.32;5.95;0.049;0.005;0.068;0.05;91.9;26.7;13.20;Potásico;Alta pirita
1887.9;585.7;967.6;0.52;1.05;0.009;0.003;0.006;0.01;92.2;32.1;15.00;Potásico;Baja pirita
1889.1;560.5;1031.8;0.81;0.63;0.014;0.003;0.008;0.03;88.1;36.0;14.44;Potásico;Baja pirita
1889.3;342.2;1335.1;1.44;1.48;0.083;0.072;0.027;0.03;88.3;32.8;12.21;Potásico;Alta pirita
1890.1;359.8;1359.4;1.87;2.47;0.069;0.022;0.029;0.04;85.9;30.4;11.89;Cuarzo-sericita;Alta pirita
1892.6;495.1;1197.9;1.05;1.33;0.030;0.056;0.097;0.01;91.1;31.1;12.99;Cuarzo-sericita;Alta pirita
1893.6;476.2;1245.2;0.86;1.01;0.017;0.003;0.008;0.02;92.5;32.5;13.66;Cuarzo-sericita;Alta pirita
1893.7;350.1;1010.6;3.56;13.48;0.115;0.273;0.019;0.24;81.8;25.7;11.99;Cuarzo-sericita;Alta pirita
1894.2;836.2;1739.6;0.63;1.38;0.004;0.006;0.028;0.04;85.3;32.2;13.62;Potásico;Baja pirita
1894.9;451.9;1493.2;0.84;3.22;0.097;0.010;0.052;0.04;81.7;25.2;12.66;Cuarzo-sericita;Alta pirita
1895.3;442.1;1328.5;0.95;1.47;0.158;0.043;0.235;0.03;92.9;30.5;11.88;Cuarzo-sericita;Alta pirita
1895.6;310.3;1454.4;1.18;5.45;0.011;0.134;0.011;0.08;93.3;24.6;14.59;Cuarzo-sericita;Alta pirita
1896.1;358.9;1580.3;2.43;4.12;0.072;0.062;0.011;0.09;95.9;29.5;13.42;Cuarzo-sericita;Alta pirita
1896.2;588.5;1524.3;1.33;0.96;0.011;0.012;0.012;0.02;93.5;34.7;15.04;Potásico;Alta pirita
1896.9;601.2;1502.2;0.63;0.66;0.006;0.005;0.005;0.01;93.0;33.1;15.20;Potásico;Baja pirita
1897.0;781.3;1591.4;1.95;0.56;0.004;0.006;0.015;0.05;93.2;39.7;16.93;Potásico;Baja pirita
1897.1;439.9;1586.4;2.50;3.22;0.062;0.088;0.014;0.13;94.7;31.1;11.59;Cuarzo-sericita;Alta pirita
1897.2;773.0;1484.6;1.19;0.92;0.006;0.009;0.011;0.05;91.6;34.4;16.36;Cuarzo-sericita;Baja pirita
1897.4;611.8;1484.1;0.75;0.54;0.028;0.003;0.005;0.01;89.8;36.7;14.82;Potásico;Baja pirita
1897.4;817.3;1630.8;0.78;0.84;0.002;0.003;0.012;0.02;91.3;36.4;15.93;Potásico;Baja pirita
1897.5;274.9;1360.3;1.52;4.19;0.010;0.011;0.013;0.09;90.2;27.1;12.60;Cuarzo-sericita;Alta pirita
1897.6;622.4;1466.0;0.87;0.67;0.028;0.003;0.032;0.01;91.7;34.9;14.75;Potásico;Baja pirita
1897.7;389.7;1465.5;1.18;1.97;0.051;0.029;0.017;0.05;94.3;29.8;13.24;Cuarzo-sericita;Alta pirita
1897.9;633.2;1447.9;1.13;0.56;0.016;0.006;0.003;0.01;90.3;37.4;15.35;Potásico;Baja pirita
1898.7;297.9;1635.5;0.62;4.99;0.011;0.009;0.156;0.06;81.2;23.4;13.96;Cuarzo-sericita;Alta pirita
1898.8;717.6;1573.8;1.10;0.50;0.005;0.006;0.012;0.06;93.4;38.5;14.34;Potásico;Baja pirita
1899.8;546.9;1453.9;0.66;1.13;0.011;0.006;0.017;0.02;89.7;30.6;14.98;Potásico;Baja pirita
1900.2;821.6;1526.5;0.56;1.09;0.002;0.004;0.026;0.04;85.3;30.7;16.58;Potásico;Baja pirita
1900.6;630.3;1577.4;0.77;0.50;0.017;0.006;0.016;0.05;88.6;36.5;15.48;Potásico;Baja pirita
1903.9;461.1;1421.5;1.34;1.26;0.060;0.027;0.202;0.06;86.8;33.1;12.42;Cuarzo-sericita;Alta pirita
1907.7;392.2;1280.0;0.87;1.23;0.047;0.010;0.042;0.05;91.3;30.9;11.86;Cuarzo-sericita;Alta pirita
1910.7;589.9;1577.1;1.13;1.19;0.035;0.012;0.036;0.06;85.3;32.5;16.83;Cuarzo-sericita;Alta pirita
1911.4;336.6;1165.3;0.98;6.04;0.060;0.155;0.359;0.03;86.7;23.8;13.09;Cuarzo-sericita;Alta pirita
1934.1;605.3;1289.8;0.55;0.54;0.007;0.006;0.007;0.02;84.2;34.7;13.94;Potásico;Baja pirita
1935.0;721.2;1635.4;1.59;0.57;0.011;0.014;0.029;0.06;91.8;39.1;16.30;Potásico;Baja pirita
1944.8;473.6;1026.1;1.01;1.14;0.047;0.061;0.210;0.03;90.6;32.8;13.47;Cuarzo-sericita;Alta pirita
1945.0;707.1;1441.9;1.14;0.66;0.030;0.006;0.023;0.03;90.3;36.9;15.18;Potásico;Baja pirita
1945.1;633.1;1551.1;1.03;0.54;0.014;0.006;0.014;0.03;87.5;36.6;16.05;Potásico;Baja pirita
1945.6;863.1;1759.9;0.95;2.78;0.004;0.008;0.014;0.03;91.1;27.2;13.99;Cuarzo-sericita;Alta pirita
1947.1;435.8;1387.1;1.08;1.59;0.167;0.012;0.114;0.06;88.7;30.5;12.59;Cuarzo-sericita;Alta pirita
1947.6;591.3;1545.2;0.81;1.37;0.020;0.011;0.039;0.03;93.0;29.6;13.77;Cuarzo-sericita;Alta pirita
1947.9;426.0;1453.7;0.99;1.46;0.039;0.040;0.053;0.07;92.7;30.3;13.26;Cuarzo-sericita;Alta pirita
1948.0;346.9;1653.3;1.91;5.12;0.016;0.039;0.015;0.10;89.2;26.8;13.24;Potásico;Alta pirita
1948.1;555.9;1621.4;1.89;1.77;0.056;0.011;0.192;0.05;89.2;32.6;12.25;Cuarzo-sericita;Alta pirita
1949.4;267.8;1438.1;0.63;4.46;0.004;0.007;0.053;0.04;90.1;23.1;15.07;Cuarzo-sericita;Alta pirita
1949.4;370.2;1626.6;2.60;6.15;0.158;0.184;0.013;0.10;87.4;27.8;12.04;Potásico;Alta pirita
1952.0;672.2;1550.3;0.78;0.36;0.012;0.003;0.014;0.02;87.2;39.4;15.11;Potásico;Baja pirita
1952.3;483.7;1549.5;1.38;1.37;0.083;0.102;0.163;0.07;91.4;32.7;11.75;Cuarzo-sericita;Alta pirita
1956.0;536.0;1438.5;0.80;1.48;0.142;0.037;0.291;0.04;85.7;29.8;14.83;Cuarzo-sericita;Alta pirita
1958.2;687.3;1585.2;1.37;0.51;0.020;0.003;0.026;0.11;88.9;39.7;16.14;Potásico;Baja pirita
1961.9;275.4;1258.0;1.33;3.44;0.020;0.034;0.036;0.05;86.0;26.9;14.33;Potásico;Alta pirita
1962.0;321.1;1324.6;1.75;2.67;0.065;0.293;0.317;0.08;96.4;30.0;12.96;Cuarzo-sericita;Alta pirita
1963.4;354.9;1499.4;2.44;3.46;0.131;0.121;0.047;0.08;90.9;29.9;13.02;Cuarzo-sericita;Alta pirita
1975.9;324.4;1482.5;1.69;2.90;0.020;0.027;0.015;0.08;96.2;29.3;14.13;Cuarzo-sericita;Alta pirita
1986.3;374.4;1626.7;2.70;4.56;0.054;0.394;0.020;0.09;93.3;29.1;12.70;Potásico;Alta pirita
1988.1;467.2;1059.1;0.83;1.90;0.038;0.054;0.483;0.06;86.1;27.7;13.74;Cuarzo-sericita;Alta pirita
1992.8;446.5;1245.4;0.91;1.82;0.030;0.025;0.484;0.04;91.8;29.6;12.56;Cuarzo-sericita;Alta pirita
1993.5;435.1;1354.3;0.91;1.33;0.163;0.015;0.199;0.05;91.3;30.3;11.26;Cuarzo-sericita;Alta pirita
1996.8;446.8;1460.0;0.97;2.51;0.219;0.121;0.100;0.06;93.1;26.6;11.91;Cuarzo-sericita;Alta pirita
1996.8;446.8;1542.5;1.44;2.61;0.083;0.187;0.186;0.05;93.1;28.5;13.22;Potásico;Alta pirita
1996.9;626.7;1480.9;0.98;0.68;0.026;0.003;0.016;0.03;89.2;37.6;15.57;Potásico;Baja pirita
1997.0;598.2;1515.7;1.42;1.78;0.069;0.013;0.029;0.04;90.9;31.1;14.30;Potásico;Alta pirita
1997.1;612.4;1498.2;1.05;0.50;0.012;0.010;0.012;0.03;91.4;36.2;15.32;Potásico;Baja pirita
1997.5;659.7;1566.1;1.26;0.80;0.006;0.006;0.027;0.04;83.1;36.0;14.31;Potásico;Baja pirita
1997.7;685.7;1283.5;0.92;0.94;0.024;0.006;0.009;0.02;91.4;32.1;15.15;Potásico;Baja pirita
1997.8;557.2;1556.3;0.86;0.82;0.222;0.006;0.131;0.05;90.9;34.2;11.15;Cuarzo-sericita;Alta pirita
1998.0;614.9;1434.2;1.04;0.87;0.011;0.009;0.014;0.04;92.3;34.9;15.02;Potásico;Baja pirita
1998.1;501.5;1141.5;1.00;1.07;0.232;0.058;0.446;0.02;94.3;32.4;11.34;Potásico;Alta pirita
1998.3;678.2;1502.8;0.76;0.51;0.005;0.006;0.007;0.03;95.6;37.7;16.76;Potásico;Baja pirita
1998.7;692.6;1455.4;0.95;0.60;0.006;0.003;0.015;0.02;91.8;38.0;15.73;Potásico;Baja pirita
1999.2;801.3;1662.2;0.84;1.44;0.005;0.012;0.030;0.04;87.7;30.3;15.96;Potásico;Baja pirita
1999.7;855.8;1603.3;0.71;1.40;0.004;0.006;0.016;0.02;87.3;31.7;16.22;Potásico;Baja pirita
2000.1;307.9;1634.0;0.80;5.16;0.015;0.029;0.021;0.09;91.7;23.3;12.91;Cuarzo-sericita;Alta pirita
2002.7;376.6;1383.9;1.34;2.15;0.061;0.040;0.080;0.06;96.1;29.9;12.99;Potásico;Alta pirita
2003.2;586.3;1521.4;0.93;1.27;0.039;0.006;0.082;0.03;88.3;31.9;13.14;Potásico;Alta pirita
2006.8;760.5;1588.0;0.88;1.07;0.004;0.006;0.014;0.04;88.8;33.9;16.74;Potásico;Baja pirita
2008.3;502.9;1486.1;0.92;0.69;0.117;0.006;0.154;0.05;86.6;35.4;10.03;Cuarzo-sericita;Alta pirita
2010.2;290.4;1250.5;1.36;2.18;0.036;0.011;0.026;0.04;78.4;28.0;13.12;Potásico;Alta pirita
2018.2;214.3;1132.1;0.92;3.28;0.028;0.010;0.031;0.03;87.0;25.9;15.26;Cuarzo-sericita;Alta pirita
2032.4;290.7;1660.0;0.65;0.95;0.003;0.003;0.028;0.03;78.6;32.0;16.31;Cuarzo-sericita;Baja pirita
2034.8;448.1;1071.7;1.93;2.38;0.022;0.165;0.069;0.04;89.1;31.2;13.56;Cuarzo-sericita;Alta pirita
2041.6;492.2;1447.6;0.76;0.94;0.061;0.006;0.081;0.03;89.8;33.6;11.87;Potásico;Alta pirita
2041.7;904.5;1584.4;0.54;1.81;0.002;0.017;0.028;0.04;83.5;26.7;15.69;Cuarzo-sericita;Alta pirita
2044.1;836.3;1686.7;0.62;1.17;0.005;0.006;0.039;0.06;83.5;31.1;17.65;Potásico;Baja pirita
2045.6;631.3;1385.9;0.91;1.02;0.008;0.018;0.051;0.04;87.8;31.9;14.49;Potásico;Baja pirita
2047.4;607.9;1477.4;0.98;0.86;0.032;0.008;0.019;0.04;90.1;34.3;14.33;Potásico;Baja pirita
2048.5;595.0;1536.0;1.56;1.79;0.056;0.081;0.398;0.07;90.0;32.0;11.34;Cuarzo-sericita;Alta pirita
2049.7;422.9;1615.6;1.76;4.27;0.101;0.203;0.023;0.05;88.8;28.5;13.04;Cuarzo-sericita;Alta pirita
2050.2;580.9;1317.1;0.64;1.07;0.014;0.006;0.023;0.04;85.9;31.0;14.93;Cuarzo-sericita;Baja pirita
2050.3;583.1;1494.0;0.76;0.93;0.052;0.011;0.224;0.04;87.5;31.7;11.88;Potásico;Alta pirita
2050.5;370.0;1518.7;1.65;1.91;0.114;0.034;0.044;0.07;94.1;31.6;13.27;Cuarzo-sericita;Alta pirita
2050.6;317.4;1371.9;1.58;3.94;0.036;0.012;0.032;0.07;90.6;26.9;13.98;Cuarzo-sericita;Alta pirita
2050.8;588.2;1522.7;1.34;1.22;0.074;0.056;0.557;0.06;83.9;32.7;10.74;Potásico;Alta pirita
2051.9;344.3;1599.0;2.35;4.32;0.033;0.103;0.016;0.11;93.4;28.5;13.09;Potásico;Alta pirita
2052.7;277.0;1260.5;1.10;2.94;0.046;0.003;0.025;0.05;84.7;26.8;14.08;Potásico;Alta pirita
2053.3;729.2;1626.8;0.80;0.52;0.003;0.003;0.014;0.03;92.4;36.0;15.35;Potásico;Baja pirita
2054.4;530.5;1485.1;1.31;1.04;0.193;0.069;0.250;0.08;90.5;34.4;12.34;Cuarzo-sericita;Alta pirita
2059.2;206.9;1072.2;0.63;3.67;0.006;0.013;0.026;0.09;85.7;24.3;14.81;Cuarzo-sericita;Alta pirita
2060.2;293.8;1544.2;0.76;6.11;0.010;0.022;0.036;0.06;84.6;23.2;13.22;Cuarzo-sericita;Alta pirita
2064.4;564.5;1500.2;1.32;1.49;0.084;0.091;0.985;0.04;89.0;32.5;10.33;Potásico;Alta pirita
2064.8;560.5;1521.8;0.93;1.02;0.299;0.008;0.208;0.04;89.8;32.8;11.25;Potásico;Alta pirita
2081.4;394.2;1613.6;1.07;2.27;0.079;0.049;0.022;0.04;94.2;28.1;11.87;Cuarzo-sericita;Alta pirita
2081.4;641.4;1465.8;0.90;0.92;0.015;0.007;0.023;0.03;88.1;33.6;14.95;Potásico;Baja pirita
2083.3;380.6;986.3;0.74;2.27;0.037;0.055;0.014;0.03;90.1;26.1;13.81;Cuarzo-sericita;Alta pirita
2085.0;771.7;1340.0;0.62;0.97;0.005;0.009;0.008;0.01;90.3;32.2;15.37;Potásico;Baja pirita
2085.8;616.6;1551.4;1.69;3.87;0.157;0.021;0.326;0.11;90.6;27.5;12.45;Potásico;Alta pirita
2097.6;872.5;1744.1;1.56;1.30;0.005;0.011;0.166;0.09;89.4;34.6;13.77;Cuarzo-sericita;Alta pirita
2097.9;889.0;1694.2;0.74;1.55;0.005;0.006;0.012;0.02;87.3;31.5;14.46;Cuarzo-sericita;Baja pirita
2099.0;843.3;1671.2;1.61;0.61;0.015;0.006;0.011;0.06;88.7;38.8;16.19;Potásico;Baja pirita
2103.5;491.9;1479.7;0.71;0.56;0.028;0.006;0.148;0.03;91.0;35.1;10.45;Cuarzo-sericita;Alta pirita
2103.6;646.1;1604.6;0.82;1.08;0.099;0.015;0.072;0.05;83.2;33.1;15.20;Potásico;Alta pirita
2106.6;380.3;1769.2;1.31;0.53;0.013;0.003;0.008;0.03;88.5;38.4;15.41;Potásico;Baja pirita
2106.8;414.1;1358.6;1.90;3.41;0.076;0.137;0.015;0.05;95.6;29.0;13.07;Cuarzo-sericita;Alta pirita
2108.8;340.9;1637.0;2.14;7.37;0.007;0.106;0.016;0.12;87.3;26.0;12.74;Cuarzo-sericita;Alta pirita
2109.0;344.3;1252.0;1.36;4.97;0.027;0.008;0.023;0.05;91.9;25.5;13.84;Cuarzo-sericita;Alta pirita
2112.3;313.9;1540.2;1.04;7.84;0.018;0.040;0.008;0.06;88.7;23.0;13.16;Cuarzo-sericita;Alta pirita
2113.4;288.1;1172.4;0.97;3.23;0.036;0.011;0.019;0.04;91.8;25.7;14.19;Cuarzo-sericita;Alta pirita
2117.6;726.3;1406.7;1.15;0.79;0.006;0.006;0.038;0.03;91.4;37.1;15.16;Potásico;Baja pirita
2117.9;281.5;1418.6;0.93;5.34;0.007;0.009;0.017;0.04;89.1;23.7;13.80;Cuarzo-sericita;Alta pirita
2118.7;894.3;1739.9;0.85;1.38;0.003;0.003;0.015;0.01;87.5;32.7;14.15;Cuarzo-sericita;Baja pirita
2118.8;897.3;1771.2;2.51;2.04;0.016;0.003;0.035;0.02;90.1;33.1;14.76;Cuarzo-sericita;Baja pirita
2121.4;924.4;1524.7;0.46;0.98;0.004;0.006;0.006;0.01;92.7;31.3;14.57;Potásico;Baja pirita
2124.7;237.8;1264.3;0.74;2.99;0.011;0.003;0.026;0.04;84.4;25.0;15.19;Cuarzo-sericita;Alta pirita
2125.8;909.5;1553.8;0.61;1.35;0.004;0.004;0.020;0.02;94.0;29.3;14.67;Cuarzo-sericita;Alta pirita
2133.7;312.3;905.8;0.89;2.29;0.028;0.013;0.019;0.03;85.1;27.1;13.62;Potásico;Alta pirita
